user_id,age,income,expenses,savings,debt,risk_tolerance,investment_knowledge,financial_goals,employment_status,dependents
1,25,32000,21000,8000,5000,6,4,retirement,employed,0
2,34,45000,28000,12000,15000,8,7,wealth_building,employed,2
3,42,38000,35000,2000,25000,3,5,debt_reduction,employed,3
4,28,28000,15000,9000,3000,7,6,house_purchase,employed,0
5,55,52000,31000,15000,8000,5,8,retirement,self_employed,1
6,31,41000,26000,10000,12000,6,5,emergency_fund,employed,1
7,45,48000,32000,11000,18000,4,6,children_education,employed,2
8,23,22000,18000,3000,2000,8,3,wealth_building,student,0
9,38,39000,29000,7000,22000,3,5,debt_reduction,employed,2
10,50,65000,40000,18000,10000,6,9,retirement,self_employed,1
11,29,33000,20000,9000,6000,7,4,house_purchase,employed,0
12,36,47000,31000,11000,14000,5,6,children_education,employed,2
13,41,51000,34000,12000,19000,4,7,retirement,employed,3
14,26,25000,16000,7000,4000,8,3,emergency_fund,employed,0
15,33,44000,27000,12000,9000,6,5,wealth_building,employed,1
16,48,58000,36000,15000,13000,5,8,retirement,self_employed,2
17,30,36000,24000,8000,7000,7,4,house_purchase,employed,0
18,39,50000,33000,12000,20000,4,6,debt_reduction,employed,2
19,52,62000,38000,17000,11000,5,9,retirement,self_employed,1
20,27,27000,17000,7000,3000,8,3,emergency_fund,employed,0
21,35,46000,29000,11000,13000,6,5,children_education,employed,2
22,43,53000,35000,13000,16000,4,7,wealth_building,employed,3
23,24,24000,15000,6000,2000,7,3,house_purchase,student,0
24,37,49000,32000,11000,18000,5,6,debt_reduction,employed,1
25,49,60000,39000,16000,12000,5,8,retirement,self_employed,1
26,32,38000,25000,9000,8000,7,4,emergency_fund,employed,0
27,40,52000,34000,12000,15000,4,7,children_education,employed,2
28,46,56000,37000,14000,17000,5,8,retirement,employed,2
29,22,21000,14000,5000,1000,9,2,wealth_building,student,0
30,53,64000,41000,17000,13000,5,9,retirement,self_employed,1
31,28,29000,18000,8000,4000,8,4,house_purchase,employed,0
32,44,54000,36000,13000,20000,3,7,debt_reduction,employed,2
33,51,63000,39000,17000,10000,6,8,retirement,self_employed,1
34,25,26000,16000,7000,3000,7,3,emergency_fund,employed,0
35,38,48000,30000,12000,11000,6,6,wealth_building,employed,1
36,47,59000,38000,15000,14000,5,8,children_education,employed,2
37,56,67000,42000,18000,9000,4,9,retirement,self_employed,1
38,30,35000,22000,9000,6000,7,4,house_purchase,employed,0
39,41,51000,33000,12000,21000,3,6,debt_reduction,employed,2
40,54,66000,40000,18000,11000,5,9,retirement,self_employed,1
41,29,30000,19000,8000,5000,8,4,emergency_fund,employed,0
42,36,47000,30000,11000,12000,6,5,wealth_building,employed,1
43,45,55000,36000,14000,16000,4,7,children_education,employed,2
44,50,61000,38000,16000,13000,5,8,retirement,employed,1
45,27,28000,17000,8000,4000,7,3,house_purchase,employed,0
46,39,50000,32000,12000,19000,4,6,debt_reduction,employed,2
47,52,64000,40000,17000,10000,5,9,retirement,self_employed,1
48,33,39000,26000,9000,7000,7,5,emergency_fund,employed,0
49,43,53000,35000,12000,15000,4,7,wealth_building,employed,2
50,31,37000,24000,9000,8000,6,4,house_purchase,employed,1
